VaccinationDate,age_group,first_dose,second_dose
2021-03-21,90+,47,101
2021-03-21,70-79,374,1034
2021-03-21,40-49,1831,6237
2021-03-21,30-39,2933,10308
2021-03-21,60-69,740,2113
2021-03-21,50-59,1187,3713
2021-03-22,20-29,4185,11994
2021-03-22,90+,69,125
2021-03-22,70-79,409,1045
2021-03-22,30-39,3028,10238
2021-03-22,40-49,1896,6203
2021-03-22,0-19,1681,4589
2021-03-22,80-89,159,551
2021-03-22,50-59,1197,3647
2021-03-22,60-69,730,1978
2021-03-23,40-49,381,1178
2021-03-23,80-89,26,89
2021-03-23,90+,<15,18
2021-03-23,60-69,176,290
2021-03-23,30-39,557,1753
2021-03-23,70-79,55,172
2021-03-23,50-59,272,643
2021-03-23,20-29,820,2189
2021-03-23,0-19,310,823
2021-03-24,70-79,301,1244
2021-03-24,60-69,543,2324
2021-03-24,40-49,1627,6896
2021-03-24,30-39,2327,11357
2021-03-24,90+,43,140
2021-03-24,80-89,179,662
2021-03-24,0-19,1367,5289
